id;id_catena;nome;id_comune;indirizzo;id_capo_equipe
332;74;Despar;88009;Via Cecoslovacchia;
333;74;Despar;88009;Via Ecce Homo 154;
334;74;Despar;88009;Via F, Cilea;
335;74;Despar;88009;Via Lombardia 54;
336;74;Despar;88009;Via Lombardia-Ang.Archimede;
337;74;Despar;88009;Via Paestum 21/23;
338;74;Despar;88009;Viale dei Platani 76;
339;74;Eurospar;88009;Via Ett.Fieramosca 230;
340;74;Interspar;88009;Via La Pira;
341;82;Eurospin;88009;Via delle Americhe;
342;126;LiDL;88009;Via Mongibello 153;
343;192;Sisa;88009;Via Cupoletti  31;
344;45;Conad;88010;C/da Costa degli Archi;
345;74;Despar;88010;C.da Canestabco;
346;33;Carrefour Express;88011;Via S. Bartolomeo 4;
347;45;Conad;88011;Contrada Spinello-Donnalucata;
348;45;Conad;88011;Via Trieste 69;
349;74;Ard Discount;88011;Via Lodderi 2;
350;74;Despar;88011;Via Colombo 143;
351;82;Eurospin;88011;C.da Spinello;
352;45;Conad;88012;Contrada Boscopiano;
353;45;Conad;88012;Via Bologna;
354;45;Conad;88012;Via Ge, Cascino;
355;45;Conad City;88012;Via Napoli-Scoglitti;
356;74;Ard Discount;88012;S.S.- 115 km 296;
357;74;Ard Discount;88012;SS 115- KM 296;
358;74;Ard Discount;88012;Via V. Veneto 1;
359;74;Despar;88012;Via F.lli Bandiera 147;
360;74;Despar;88012;Via Marangio;
361;82;Eurospin;88012;Stradale Scoglitti;
362;126;LiDL;88012;Via Generale Cascino 47;
363;161;Penny Market;88012;ex S.S. 115;
364;189;Sigma;88012;S .S. Scoglitti 44;
365;82;EUROSPIN;85001;CONTRADA MOLA MISTRETTA;210
366;62;DESPAR;85003;VIA MILANO 3;211
367;189;OK SIGMA;85003;VIA LUIGI STURZO 80/82;212
368;14;ARD;85004;DUE FONTANE;213
369;33;CARREFOUR;85004;PIETRO LEONE;214
370;33;CARREFOUR;85004;SALVO D'ACQUISTO;215
371;45;CONAD;85004;VIA MICHELANGELO;216
372;46;CONAD ;85004;VIA P. NENNI;217
373;46;CONAD ;85004;BENED. CROCE;218
374;82;EUROSPIN;85004;SANTO SPIRITO;219
375;82;EUROSPIN;85004;DE GASPERI;220
376;82;EUROSPIN;85004;C.DA DECANO;221
377;96;FORTE';85004;DE GASPERI;222
378;121;IPERSIDIS;85004;IL CASALE;223
379;126;LIDL;85004;DUE FONTANE;224
380;144;MD;85004;PIETRO LEONE;225
381;157;PAGHI POCO;85004;VIA SANTO SPIRITO;226
382;157;PAGHI POCO;85004;PIETRO LEONE;227
383;158;PAM;85004;DON MINZONI;228
384;187;SIDIS ;85004;DUE FONTANE;229
385;187;SIDIS ;85004;SAN LUCA;230
386;187;SIDIS ;85004;V.LE DELLA REGIONE;231
387;13;NUOVA CONVE';84010;VIA LAUTREC;232
388;13;MAX;84010;VIA GENERALE CASCINO;233
389;18;ARD;84010;VIA IMPASTATO;234
390;33;CARREFOUR;84010;VIA MAZZINI;233
391;45;CONAD;84010;VIA V.VENETO;235
392;82;EUROSPIN;84010;VIA GUAZZELLI;236
393;13;MAXISCONTO;89036;VIA KENNEDY, 48;237
394;13;PAGHIPOCO;89036;VIA G. SAETTA 74;238
395;33;CARREFOUR;89036;VIA CAP. MAIRA 42756;239
396;33;CARREFOUR EXPRESS;89036;VIA VITT. EMANUELE 369;240
397;45;CONAD;89036;C.DA CARLINO;241
398;82;EUROSPIN;89036;VIA A. DIAZ 122;242
399;96;FORTE';89036;VIA FALCONE,2;243
400;158;PAM CLUB SUPERMECATO;89036;VIA C. ALBERTO ;244
401;158;SUPERMECATO PAM EXPRESS;89036;VIA B. LOMBARDO 125;245
402;118;IPERCONVENIENZA;84013;C/C LE VIGNE;246
403;13;PACI DIEGO E FIGLI SAS;85006;VIA L. RUSSO N. 23;247
404;13;MARKET MENNA;85006;VIA A. DIAZ;248
405;13;EUROMARKET;85006;VIA AGRIGENTO, 20;249
406;13;DI PASQUALE GIUSEPPA;85006;VIA G.PAGLIARELLO;250
407;13;MANCUSO E STAGNO SNC;85006;VIA FERRARA,60;251
408;45;F.LLI MANCUSO;85006;VIA F. CRISPI 34;252
409;45;CONAD;84018;V.LE MATTEOTTI 38;253
410;192;SISA;84018;VIA F. INGRAO;254
411;82;EUROSPIN;84021;VIA PALMA;255
412;82;EUROSPIN;84021;VIA GELA ;256
413;13;MAX SUPERMERCATI;85009;VIA BARTOLI 41;257
414;33;CARREFOUR EXPRESS;85009;VIA ABRUZZI 6;258
415;62;DESPAR;85009;P.ZZA GESUALDO;259
416;82;EUROSPIN;85009;CONTRADA SAN GIOVANNI;260
417;145;MD;85009;VIA PIRANDELLO  S.N;261
418;186;MAXI SIDIS;85009;VIA PIRANDELLO 5;262
419;13;COSTO ZERO;85012;CDA MONTICELLI SNC;263
420;13;MAXI SCONTO;85012;CONTRADA BOSCO;264
421;62;DESPAR-AZ;85012;VIALE EUROPA;265
422;126;LIDL;85012;VIALE DEI NORMANNI 4;266
423;161;PENNY;85012;VIA CONTE RUGGERO SNC;267
424;13;F.lli BIVONA  SRL;86012;C.da PANOTTO ;
425;45;F.LLI GIACONIA;86012;C.da MURATA;
426;145;DS SERVICE SRL;86012;VIA PANOTTO, 1;
427;186;F.LLI ARENA;86012;VIA NAZIONALE;
428;192;SISA MARKET SRL;86012;VIA PIO LA TORRE snc;
429;13;C.E.V.E.A. ;84027;PIAZZA MAZZINI;268
430;13;FORTE';84027;T.SA di VIA CATANIA;269
431;82;EUROSPIN;84027;SS BIVIO per MARINA DI PALMA;270
432;192;SISA;84027;;270
433;13;ALIMENTARI NICOLETTI;86015;VIA SABOTINO;271
434;13;ALIMENTARI GANDOLFO;86015;VIA S. DE BLASI;271
435;13;ALIMENTARI COSENTINO;86015;VIA S. CROCE;271
436;13;ALIMENTARI RUSSELLO;86015;VIA LA MASA;271
437;13;ALIMENTARI ALU';86015;VIA CESARE BATTISTI;271
438;13;ALIMENTARI DI  FORTI ;86015;DISCESA LEONE;271
439;45;CONAD GIACONIA;86015;C.DA S.LUCIA;271
440;45;CONAD BELLOMO ;86015;P.ZZA ANZALLO;271
441;13;DITTA CAPOBIANCO MARIO;84031;C,SO GARIBALDI;272
442;13;FORTE';84031;VIA OLIMPICA;273
443;13;MAXI SCONTO;84031;VIA MADRE TERESA;274
